source_id,scenario,month,precip_mm_day,snowfall_mm_day
GFDL-CM4,historical,1,4.220264507029566,1.2247826467168763
GFDL-CM4,historical,2,4.565862639296814,1.190378427812979
GFDL-CM4,historical,3,3.952525907175401,1.1046625860041075
GFDL-CM4,historical,4,2.473127928247069,0.6378495331765799
GFDL-CM4,historical,5,1.8538410773990286,0.35782601315351875
GFDL-CM4,historical,6,0.835814104905654,0.06146556790924215
GFDL-CM4,historical,7,0.2209871430337806,0.0031039582702678038
GFDL-CM4,historical,8,0.08709460753145908,0.00010480870728571649
GFDL-CM4,historical,9,0.329063676140686,0.017572769825377588
GFDL-CM4,historical,10,1.3018473875834473,0.14756586825899656
GFDL-CM4,historical,11,3.4794879756427197,0.7644692971850598
GFDL-CM4,historical,12,3.629508340768741,1.0076620755994903
GFDL-ESM4,historical,1,4.346494548125848,1.1215783102861006
GFDL-ESM4,historical,2,4.984164951308258,1.0111310272229053
GFDL-ESM4,historical,3,4.358018479529155,1.0709406391413059
GFDL-ESM4,historical,4,3.3622054914294277,0.913905767087369
GFDL-ESM4,historical,5,2.36696914125356,0.41832220721336516
GFDL-ESM4,historical,6,1.2541773125137432,0.05940139148978103
GFDL-ESM4,historical,7,0.2442210305411236,0.000894418345320608
GFDL-ESM4,historical,8,0.18343567134437022,2.0915157994414263e-05
GFDL-ESM4,historical,9,0.3141516142594487,0.016762153504839734
GFDL-ESM4,historical,10,1.2033712897309652,0.13912056279045357
GFDL-ESM4,historical,11,2.9758260136353827,0.5100104991570928
GFDL-ESM4,historical,12,4.380565967086278,1.1139320069970964
GFDL-CM4,ssp245,1,5.1824099332239335,0.7828778208973642
GFDL-CM4,ssp245,2,4.727319064319034,0.6908447137477702
GFDL-CM4,ssp245,3,3.956137253106159,0.6756113781976044
GFDL-CM4,ssp245,4,3.1786366995707103,0.5732433382796182
GFDL-CM4,ssp245,5,1.9680793541498889,0.10676050389512128
GFDL-CM4,ssp245,6,0.7749596258219744,0.007316423340827295
GFDL-CM4,ssp245,7,0.2034314011346843,0.0
GFDL-CM4,ssp245,8,0.13324225277959992,0.0
GFDL-CM4,ssp245,9,0.6759557082509289,0.0065812394574086205
GFDL-CM4,ssp245,10,1.082320445064744,0.031440777302006756
GFDL-CM4,ssp245,11,2.997979904573601,0.2704009256753943
GFDL-CM4,ssp245,12,2.9549954872398154,0.4707840065265049
GFDL-ESM4,ssp245,1,4.268913613039696,0.747583262659343
GFDL-ESM4,ssp245,2,5.305988209325954,0.8715407163005892
GFDL-ESM4,ssp245,3,5.053615662950028,1.056115265216635
GFDL-ESM4,ssp245,4,2.933165799603982,0.6023143775616842
GFDL-ESM4,ssp245,5,1.8182307357713066,0.1315239477107396
GFDL-ESM4,ssp245,6,1.1042806146259108,0.011383431361128547
GFDL-ESM4,ssp245,7,0.2577457014994537,0.0
GFDL-ESM4,ssp245,8,0.1899013079349099,0.0
GFDL-ESM4,ssp245,9,0.4339314468949375,0.003196349547553824
GFDL-ESM4,ssp245,10,1.1868243574318398,0.032052038482988904
GFDL-ESM4,ssp245,11,3.131835255095901,0.2985716935067416
GFDL-ESM4,ssp245,12,5.170842413782075,0.8626910755715688
GFDL-CM4,ssp585,1,4.803112296435786,0.5040075767317602
GFDL-CM4,ssp585,2,4.721271537029794,0.4556306025291227
GFDL-CM4,ssp585,3,3.864778956467691,0.46395376997731774
GFDL-CM4,ssp585,4,2.433648155033577,0.2375501907832855
GFDL-CM4,ssp585,5,1.361934113192801,0.0687845152243118
GFDL-CM4,ssp585,6,0.5715542022269264,0.0009471593393594995
GFDL-CM4,ssp585,7,0.20246344350839296,0.0
GFDL-CM4,ssp585,8,0.17113759706497833,0.0
GFDL-CM4,ssp585,9,0.5540908732000179,0.0
GFDL-CM4,ssp585,10,0.869577863460647,0.008707530283787897
GFDL-CM4,ssp585,11,1.8342943234314668,0.13638562606282637
GFDL-CM4,ssp585,12,4.146982993546513,0.4957567477625216
GFDL-ESM4,ssp585,1,7.279660029998684,0.7411266421979559
GFDL-ESM4,ssp585,2,8.053439853733623,0.9904525976178877
GFDL-ESM4,ssp585,3,3.60358931696958,0.6187426156016927
GFDL-ESM4,ssp585,4,2.5330021178828153,0.35060129672523527
GFDL-ESM4,ssp585,5,1.8799978766340502,0.09316593829932447
GFDL-ESM4,ssp585,6,0.8031556763417111,0.0021538724101398407
GFDL-ESM4,ssp585,7,0.3340575864714297,2.121610466012228e-05
GFDL-ESM4,ssp585,8,0.18888301175681949,0.0
GFDL-ESM4,ssp585,9,0.4599768036237981,0.00039464608133371544
GFDL-ESM4,ssp585,10,0.6147555141579953,0.017064829296649067
GFDL-ESM4,ssp585,11,2.0213614723362503,0.1047518162542078
GFDL-ESM4,ssp585,12,4.479611377058132,0.6447221845882383
