scenario,month,precip_mm_day,snowfall_mm_day,rain_mm_day,snow_fraction,model_count
historical,1,4.283379527577707,1.1731804785014885,3.1101990490762184,0.27389132131490895,2
historical,2,4.775013795302536,1.1007547275179421,3.674259067784594,0.23052388426622342,2
historical,3,4.155272193352278,1.0878016125727066,3.0674705807795717,0.26178829254868125,2
historical,4,2.9176667098382483,0.7758776501319744,2.141789059706274,0.2659240164463432,2
historical,5,2.1104051093262943,0.38807411018344196,1.7223309991428524,0.18388607403785479,2
historical,6,1.0449957087096986,0.06043347969951159,0.984562229010187,0.0578313185363521,2
historical,7,0.2326040867874521,0.0019991883077942058,0.23060489847965787,0.008594811619200032,2
historical,8,0.13526513943791466,6.286193264006538e-05,0.13520227750527458,0.00046473121531004943,2
historical,9,0.32160764520006735,0.01716746166510866,0.30444018353495866,0.053380141676759696,2
historical,10,1.2526093386572064,0.14334321552472507,1.1092661231324814,0.1144356912414437,2
historical,11,3.227656994639051,0.6372398981710763,2.590417096467975,0.19743110845715464,2
historical,12,4.00503715392751,1.0607970412982932,2.9442401126292164,0.26486571797668107,2
ssp245,1,4.725661773131815,0.7652305417783536,3.9604312313534615,0.1619308741326225,2
ssp245,2,5.016653636822494,0.7811927150241798,4.235460921798314,0.15571988253089375,2
ssp245,3,4.504876458028093,0.8658633217071197,3.6390131363209735,0.19220578627946028,2
ssp245,4,3.055901249587346,0.5877788579206511,2.468122391666695,0.19234222899055456,2
ssp245,5,1.8931550449605976,0.11914222580293043,1.7740128191576672,0.06293315812673449,2
ssp245,6,0.9396201202239426,0.009349927350977921,0.9302701928729646,0.009950752596431762,2
ssp245,7,0.230588551317069,0.0,0.230588551317069,0.0,2
ssp245,8,0.1615717803572549,0.0,0.1615717803572549,0.0,2
ssp245,9,0.5549435775729332,0.0048887945024812226,0.550054783070452,0.008809534338360217,2
ssp245,10,1.1345724012482918,0.03174640789249783,1.102825993355794,0.02798094494240248,2
ssp245,11,3.0649075798347507,0.28448630959106797,2.7804212702436826,0.09282051813334172,2
ssp245,12,4.062918950510945,0.6667375410490368,3.3961814094619083,0.16410308676356666,2
ssp585,1,6.0413861632172345,0.622567109464858,5.418819053752377,0.10305037497111769,2
ssp585,2,6.387355695381709,0.7230416000735052,5.664314095308204,0.1131988939642567,2
ssp585,3,3.7341841367186355,0.5413481927895052,3.19283594392913,0.14497094223778897,2
ssp585,4,2.483325136458196,0.2940757437542604,2.189249392703936,0.11842015346153237,2
ssp585,5,1.6209659949134256,0.08097522676181813,1.5399907681516074,0.049954920100679194,2
ssp585,6,0.6873549392843188,0.0015505158747496702,0.6858044234095692,0.002255771779808673,2
ssp585,7,0.2682605149899113,1.060805233006114e-05,0.2682499069375813,3.954384539394508e-05,2
ssp585,8,0.1800103044108989,0.0,0.1800103044108989,0.0,2
ssp585,9,0.507033838411908,0.00019732304066685772,0.5068365153712411,0.0003891713446283933,2
ssp585,10,0.7421666888093212,0.012886179790218482,0.7292805090191028,0.017362918579506902,2
ssp585,11,1.9278278978838586,0.12056872115851708,1.8072591767253414,0.06254122647092261,2
ssp585,12,4.313297185302322,0.5702394661753799,3.7430577191269423,0.1322050027339842,2
