source_id,scenario,month,snm
GFDL-CM4,historical,1,9.894801609189296e-06
GFDL-CM4,historical,2,1.3186430076883783e-05
GFDL-CM4,historical,3,1.322546681691635e-05
GFDL-CM4,historical,4,4.2080198023105916e-06
GFDL-CM4,historical,5,1.6227385635786816e-06
GFDL-CM4,historical,6,1.2628705983482956e-07
GFDL-CM4,historical,7,5.963651036197236e-09
GFDL-CM4,historical,8,6.523586461046508e-10
GFDL-CM4,historical,9,3.2519382422103064e-08
GFDL-CM4,historical,10,6.950585396448763e-07
GFDL-CM4,historical,11,5.6484266969761964e-06
GFDL-CM4,historical,12,6.6999429688294765e-06
GFDL-ESM4,historical,1,9.541006528911788e-06
GFDL-ESM4,historical,2,1.4076631828563207e-05
GFDL-ESM4,historical,3,1.4333667574699782e-05
GFDL-ESM4,historical,4,1.07027284226781e-05
GFDL-ESM4,historical,5,2.557706613597523e-06
GFDL-ESM4,historical,6,2.536511980882176e-07
GFDL-ESM4,historical,7,1.8982869901254375e-09
GFDL-ESM4,historical,8,2.0903060965937212e-10
GFDL-ESM4,historical,9,1.583657286777746e-07
GFDL-ESM4,historical,10,9.170739568983204e-07
GFDL-ESM4,historical,11,4.074348561095474e-06
GFDL-ESM4,historical,12,6.7170040064794416e-06
GFDL-CM4,ssp245,1,7.154106526520878e-06
GFDL-CM4,ssp245,2,6.7851019842615655e-06
GFDL-CM4,ssp245,3,5.046598724712078e-06
GFDL-CM4,ssp245,4,3.15573486190504e-06
GFDL-CM4,ssp245,5,3.0979774685138083e-07
GFDL-CM4,ssp245,6,1.2904894592429744e-08
GFDL-CM4,ssp245,7,3.0352535302431514e-11
GFDL-CM4,ssp245,8,9.90464828833426e-12
GFDL-CM4,ssp245,9,1.3064834445736836e-08
GFDL-CM4,ssp245,10,9.419223153890006e-08
GFDL-CM4,ssp245,11,1.5948025259986462e-06
GFDL-CM4,ssp245,12,3.3146801865320922e-06
GFDL-ESM4,ssp245,1,6.76248146785831e-06
GFDL-ESM4,ssp245,2,1.0566963723159843e-05
GFDL-ESM4,ssp245,3,9.62550904830445e-06
GFDL-ESM4,ssp245,4,5.3370717569313235e-06
GFDL-ESM4,ssp245,5,1.322562807809386e-06
GFDL-ESM4,ssp245,6,1.1594525564331841e-07
GFDL-ESM4,ssp245,7,7.977971333108034e-11
GFDL-ESM4,ssp245,8,2.5364827858308842e-11
GFDL-ESM4,ssp245,9,2.2910422835950487e-08
GFDL-ESM4,ssp245,10,2.3066714138522205e-07
GFDL-ESM4,ssp245,11,1.9334988351548536e-06
GFDL-ESM4,ssp245,12,4.473615699374117e-06
GFDL-CM4,ssp585,1,4.8679472543650036e-06
GFDL-CM4,ssp585,2,4.252489071551127e-06
GFDL-CM4,ssp585,3,2.8918728190086617e-06
GFDL-CM4,ssp585,4,8.662461891874694e-07
GFDL-CM4,ssp585,5,1.42283245938391e-07
GFDL-CM4,ssp585,6,1.6079845522707302e-09
GFDL-CM4,ssp585,7,8.921685811860682e-13
GFDL-CM4,ssp585,8,1.4030628013164975e-14
GFDL-CM4,ssp585,9,2.214013049371686e-11
GFDL-CM4,ssp585,10,1.4761901279193349e-08
GFDL-CM4,ssp585,11,6.666912380238385e-07
GFDL-CM4,ssp585,12,3.492650177410346e-06
GFDL-ESM4,ssp585,1,8.007076598347058e-06
GFDL-ESM4,ssp585,2,9.88088466190571e-06
GFDL-ESM4,ssp585,3,6.199968305504923e-06
GFDL-ESM4,ssp585,4,2.9221693129484793e-06
GFDL-ESM4,ssp585,5,6.204386317481892e-07
GFDL-ESM4,ssp585,6,1.3487830985302276e-08
GFDL-ESM4,ssp585,7,2.0746165144227357e-10
GFDL-ESM4,ssp585,8,5.482650514256959e-12
GFDL-ESM4,ssp585,9,3.440888470531537e-09
GFDL-ESM4,ssp585,10,1.2549949530210722e-07
GFDL-ESM4,ssp585,11,7.120648988357902e-07
GFDL-ESM4,ssp585,12,5.0085637259509065e-06
GFDL-ESM4,ssp126,1,6.691017585886156e-06
GFDL-ESM4,ssp126,2,9.019248628062457e-06
GFDL-ESM4,ssp126,3,1.041083163080776e-05
GFDL-ESM4,ssp126,4,5.716127442423868e-06
GFDL-ESM4,ssp126,5,1.9974355416147187e-06
GFDL-ESM4,ssp126,6,1.3700144127396122e-07
GFDL-ESM4,ssp126,7,1.0331184702659324e-10
GFDL-ESM4,ssp126,8,7.744394098694179e-11
GFDL-ESM4,ssp126,9,9.33312944881125e-09
GFDL-ESM4,ssp126,10,3.219309277648721e-07
GFDL-ESM4,ssp126,11,2.552906816845693e-06
GFDL-ESM4,ssp126,12,5.198507362926813e-06
