scenario,month,mean_c,median_c,model_count
historical,1,1.383285203283208,1.383285203283208,2
historical,2,3.293267033596692,3.293267033596692,2
historical,3,4.664561162226846,4.664561162226846,2
historical,4,7.1399994549962,7.1399994549962,2
historical,5,10.288963486914554,10.288963486914554,2
historical,6,14.764024168192009,14.764024168192009,2
historical,7,18.983378110282302,18.983378110282302,2
historical,8,20.07896961588773,20.07896961588773,2
historical,9,17.10151289498404,17.10151289498404,2
historical,10,10.946961394059628,10.946961394059628,2
historical,11,4.076689179884028,4.076689179884028,2
historical,12,1.4600820082694668,1.4600820082694668,2
ssp245,1,3.8161855156792512,3.8161855156792512,2
ssp245,2,5.1579695050017165,5.1579695050017165,2
ssp245,3,6.480930851222041,6.480930851222041,2
ssp245,4,8.72661763267584,8.72661763267584,2
ssp245,5,13.493055898855431,13.493055898855431,2
ssp245,6,17.76201009059909,17.76201009059909,2
ssp245,7,22.249234873738715,22.249234873738715,2
ssp245,8,23.18960993066497,23.18960993066497,2
ssp245,9,20.746480868177343,20.746480868177343,2
ssp245,10,14.951902233006308,14.951902233006308,2
ssp245,11,7.306354488627932,7.306354488627932,2
ssp245,12,4.090215535930355,4.090215535930355,2
ssp585,1,5.435079477832744,5.435079477832744,2
ssp585,2,6.307871093228812,6.307871093228812,2
ssp585,3,7.546179968668241,7.546179968668241,2
ssp585,4,10.578403369519663,10.578403369519663,2
ssp585,5,14.821348620786353,14.821348620786353,2
ssp585,6,19.95258664625115,19.95258664625115,2
ssp585,7,23.848788907357687,23.848788907357687,2
ssp585,8,25.179214639645636,25.179214639645636,2
ssp585,9,22.84733190875241,22.84733190875241,2
ssp585,10,17.463440993647595,17.463440993647595,2
ssp585,11,9.172707565029214,9.172707565029214,2
ssp585,12,5.168168832539919,5.168168832539919,2
